Alabama,102052
Alaska,85975
Arizona,196200
Arkansas,68498
California,567557
Colorado,155876
Connecticut,91658
Florida,435944
Georgia,252011
Hawaii,59766
Idaho,58347
Illinois,284436
Indiana,139534
Iowa,72981
Kansas,91083
Kentucky,97279
Louisiana,92180
Michigan,181911
Mississippi,69061
Missouri,142175
Nevada,106011
New Hampshire,43076
New Mexico,62055
New York,388081
North Carolina,230990
Ohio,198039
Pennsylvania,225871
South Carolina,122016
South Dakota,26785
Tennessee,154616
Texas,403793
Utah,80700
Virginia,239106
Washington,181480
Wisconsin,105025
Wyoming,29881
Delaware,27269
Maine,32432
Maryland,162809
Massachusetts,151004
Montana,32438
Nebraska,46842
New Jersey,207007
North Dakota,25376
Oklahoma,93825
Oregon,105208
West Virginia,47351
Puerto Rico,70191
Minnesota,111722
Rhode Island,31611
Vermont,20343
District of Columbia,54773